occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,protected,cx_int_no,formation,stratgroup,member,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,occurrence_comments,authorizer_no,enterer_no,modifier_no,authorizer,enterer,modifier,created,modified,paleomodel,paleolng,paleolat,geoplate
101085,occ,,,6851,Trilobita indet.,class,19100,,Trilobita,,class,19100,Meishucunian,,541,516,421,108,32,CN,Shaanxi,,,degrees,outcrop,"Site is along the Zhenping-Wuxi road, 1.2 km south of Zhongbao, in Zhenping, Southern Shaanxi, China.  Unfortunately, a search of cities named Zhongbao came up with multiple entries for the Shaanxi Province.  The latitude and longitude coordinates are general for the province.",,22,Qiongzhusi,,,Qiongzhusi,,,bed,Eoredlichia - Wutingaspis,,,,,,,,"specimens from an 8cm thick limestone bed.  the limestone bed is dark grey, thin bedded, structually complex, and discontinuous exposure.","""limestone""",gray,lithified,,,,,,,,"specimens from an 8cm thick limestone bed.  the limestone bed is dark grey, thin bedded, structually complex, and discontinuous exposure.","""limestone""",gray,lithified,,,,,,,,carbonate indet.,,,,1,63,63,M. Patzkowsky,P. Borkow,P. Borkow,2000-06-02 6:26,2000-06-02 8:26,gp_mid,66.44,6.28,611
101411,occ,,,7890,Olenus asiaticus,species,20765,species not entered,Olenus,,genus,20765,Maentwrogian,,501,485.4,505,128.479996,37.18,KR,,,,seconds,outcrop,"Location is in an exposure along a small creek, about 6km norht of Yeongweol Town, Korea.",,22,Machari,,,Machari,,,formation,Glyptagnostus stolidotus,,,,,,,"The Machari Formation attains a thickness of 400 meters.\r\nThe paper only depicts the occurrence of Glyptagnostus stolidotus, thus it belongs to the Glyptagnostus stolidotus zone.","dark gray to black laminated shale with occasional intercalations of thin dolomitic limestone beds. specimes collected from the shale beds, 53-61 meters above the thrust contact between the machari formation and the permo-carboniferous strata in the measured section.","""shale""","planar lamination,black,gray",,,,"""limestone""",,,,,"dark gray to black laminated shale with occasional intercalations of thin dolomitic limestone beds. specimes collected from the shale beds, 53-61 meters above the thrust contact between the machari formation and the permo-carboniferous strata in the measured section.","""shale""","planar lamination,black,gray",,,,"""limestone""",,,,,marine indet.,,,,1,63,63,M. Patzkowsky,P. Borkow,P. Borkow,2000-06-05 12:36,2000-06-05 16:09,gp_mid,92.49,16.34,604
101775,occ,,,7908,Trilobita indet.,class,19100,,Trilobita,,class,19100,Atdabanian,,520,516,514,112,31,CN,,,,degrees,small collection,"A quarry located on the east side of Taishanmiao-Xinping Highway about 250 meters south of the locally defined Precambrian-Cambrian boundary in the Taishanmiao Section on the eastern limb of the Huangling Anticline, Yangtze Gorge.",,1119,Shuijingtuo,,,Shuijingtuo,,,formation,,,,,,,,,impure limestones,"""limestone""",,lithified,,,,,,,,impure limestones,"""limestone""",,lithified,,,,,,,,marine indet.,,,,1,63,0,M. Patzkowsky,P. Borkow,,2000-06-07 12:38,2000-06-07 14:38,gp_mid,74.13,-6.58,611
102835,occ,,,8090,Trilobita indet.,class,19100,,Trilobita,,class,19100,Atdabanian,,520,516,506,111.333336,30.799999,CN,,,based on political unit,minutes,small collection,"Specimens found near the village of Taishaumiao, approximately 15 miles from the Yangtze River.",,1119,Shuijingtuo,,,Shuijingtuo,,,formation,,,,,,,,Sample was a fallen block in a roadside quarry about 250m south of the Precambrian-Cambrian boundary as locally defined withing the Tianzhushan member of the Dengying Formation.,"the formation is predominantly clastic, but carbonate horizons have not revealed many specimens.","""limestone""",intraclastic,,,,,,,,,"the formation is predominantly clastic, but carbonate horizons have not revealed many specimens.","""limestone""",intraclastic,,,,,,,,,marine indet.,,,,1,63,0,M. Patzkowsky,P. Borkow,,2000-06-19 7:31,2000-06-19 9:31,gp_mid,74.31,-6,611
122357,occ,,,9626,Redlichia chinensis,species,235575,recombined as,Redlichia (Pteroredlichia) chinensis,,species,235575,Atdabanian,Botomian,520,513,838,102.683334,25.066668,CN,Yunnan,,,minutes,,"Siqitian, Yunnan. NOTE: The latitude and longitude are for the nearby city of Kunming.",,1110,Tsanglangpu,,Wulonqing,Tsanglangpu,,Wulonqing,member,Ushbaspis limbata,,,,,,,,,siltstone,,lithified,,,,,,,,,siltstone,,lithified,,,,,,,,,,,,1,63,0,M. Patzkowsky,P. Borkow,,2001-01-09 13:00,2001-01-09 15:00,gp_mid,75.23,2.92,611
122359,occ,,,9626,Trilobita indet.,class,19100,,Trilobita,,class,19100,Atdabanian,Botomian,520,513,838,102.683334,25.066668,CN,Yunnan,,,minutes,,"Siqitian, Yunnan. NOTE: The latitude and longitude are for the nearby city of Kunming.",,1110,Tsanglangpu,,Wulonqing,Tsanglangpu,,Wulonqing,member,Ushbaspis limbata,,,,,,,,,siltstone,,lithified,,,,,,,,,siltstone,,lithified,,,,,,,,,,,,1,63,0,M. Patzkowsky,P. Borkow,,2001-01-09 13:00,2001-01-09 15:00,gp_mid,75.23,2.92,611
122363,occ,,,9627,Trilobita indet.,class,19100,,Trilobita,,class,19100,Atdabanian,Botomian,520,513,838,103.566666,25.4,CN,Yunnan,Malong,,minutes,,"Malong county, eastern Yunnan, approximately 120 km northeast of the city of Kuming.",,1110,Tsanglangpu,,Wulonqing,Tsanglangpu,,Wulonqing,member,Ushbaspis limbata,Xiaoluogui,X,,,,,,,siltstone,,lithified,,,,,,,,,siltstone,,lithified,,,,,,,,marine indet.,,,,1,63,0,M. Patzkowsky,P. Borkow,,2001-01-09 13:32,2001-01-09 15:32,gp_mid,74.98,2.09,611
128094,occ,,,10501,Trilobita indet.,class,19100,,Trilobita,,class,19100,Atdabanian,,520,516,423,111.321671,30.771111,CN,Hubei,,based on political unit,seconds,local area,"Eastern Yangtze Gorge area, W. Hubei Province, China",,1119,Shuijingtuo,,,Shuijingtuo,,,group of beds,,,,,,,,,silty dolomite,"""shale""",black,lithified,,Y,siltstone,,lithified,,Y,silty dolomite,"""shale""",black,lithified,,Y,siltstone,,lithified,,Y,marine indet.,,,,1,63,0,M. Patzkowsky,P. Borkow,,2001-05-14 10:02,2001-05-14 12:02,gp_mid,74.29,-5.98,611
386875,occ,,,9628,Redlichia chinensis,species,235575,recombined as,Redlichia (Pteroredlichia) chinensis,,species,235575,Atdabanian,Botomian,520,513,838,102.716667,25.033333,CN,Yunnan,,based on nearby landmark,minutes,,"LOCALITY: NW of Kunming (approximately 30km), near the village of Maotianshan. COORDINATES: Kunming, China",,1110,Qiongzhusi,,Wulonqing,Qiongzhusi,,Wulonqing,member,Ushbaspis limbata,,,,,,,LITHOSTRATIGRAPHY: From the Wulonqing Mbr of the Qiongzhusi Fm (Chiungchussu). AGE: Originally entered as Caerfai; subsequently modified to be Atdabanian through Botomian; needs to be validated. STRATIGRAPHIC POSITION: From unknown position within local section.,"LITHOLOGY: Finely laminated mudstone. LITHIFICATION: Lithified, on the basis of taphonomic preservation.",mudstone,planar lamination,lithified,,Y,,,,,,"LITHOLOGY: Finely laminated mudstone. LITHIFICATION: Lithified, on the basis of taphonomic preservation.",mudstone,planar lamination,lithified,,Y,,,,,,coastal indet.,,ENVIRONMENT: Shallow marine siliciclastic.,,1,97,0,M. Patzkowsky,A. Krug,,2004-02-19 13:31,2004-02-19 15:31,gp_mid,75.19,2.92,611
386877,occ,,,9628,Trilobita indet.,class,19100,,Trilobita,,class,19100,Atdabanian,Botomian,520,513,838,102.716667,25.033333,CN,Yunnan,,based on nearby landmark,minutes,,"LOCALITY: NW of Kunming (approximately 30km), near the village of Maotianshan. COORDINATES: Kunming, China",,1110,Qiongzhusi,,Wulonqing,Qiongzhusi,,Wulonqing,member,Ushbaspis limbata,,,,,,,LITHOSTRATIGRAPHY: From the Wulonqing Mbr of the Qiongzhusi Fm (Chiungchussu). AGE: Originally entered as Caerfai; subsequently modified to be Atdabanian through Botomian; needs to be validated. STRATIGRAPHIC POSITION: From unknown position within local section.,"LITHOLOGY: Finely laminated mudstone. LITHIFICATION: Lithified, on the basis of taphonomic preservation.",mudstone,planar lamination,lithified,,Y,,,,,,"LITHOLOGY: Finely laminated mudstone. LITHIFICATION: Lithified, on the basis of taphonomic preservation.",mudstone,planar lamination,lithified,,Y,,,,,,coastal indet.,,ENVIRONMENT: Shallow marine siliciclastic.,,1,97,0,M. Patzkowsky,A. Krug,,2004-02-19 13:31,2004-02-19 15:31,gp_mid,75.19,2.92,611
467478,occ,,,46443,Redlichia noetlingi,species,19442,species not entered,Redlichia,,genus,19442,Caerfai,,530,513,12380,74.341667,34.508331,IN,Jammu and Kashmir,Kashmir,stated in text,seconds,outcrop,at the top of the Lolab Formation along the steep ridge slope southwest of the Putshai stream (Lat&Long) in the Lolab valley. Authors also provide a map,,22,,,,,,,,,,,,,,,upper middle part of the Lower Cambrian,drab coloured greenish shale which is occasionally ferruginous,"""shale""","ferruginous,green",lithified,,Y,,,,,,drab coloured greenish shale which is occasionally ferruginous,"""shale""","ferruginous,green",lithified,,Y,,,,,,marine indet.,,,,6,201,0,L. Ivany,P. Wall,,2005-01-13 9:21,2005-01-13 11:21,gp_mid,80.97,-25.77,501
467479,occ,,,46443,Redlichia cf. knjazevi,species,19442,species not entered,Redlichia,,genus,19442,Caerfai,,530,513,12380,74.341667,34.508331,IN,Jammu and Kashmir,Kashmir,stated in text,seconds,outcrop,at the top of the Lolab Formation along the steep ridge slope southwest of the Putshai stream (Lat&Long) in the Lolab valley. Authors also provide a map,,22,,,,,,,,,,,,,,,upper middle part of the Lower Cambrian,drab coloured greenish shale which is occasionally ferruginous,"""shale""","ferruginous,green",lithified,,Y,,,,,,drab coloured greenish shale which is occasionally ferruginous,"""shale""","ferruginous,green",lithified,,Y,,,,,,marine indet.,,,,6,201,0,L. Ivany,P. Wall,,2005-01-13 9:21,2005-01-13 11:21,gp_mid,80.97,-25.77,501
467480,occ,,,46443,Tungusella obesa,species,19459,species not entered,Tungusella,,genus,19459,Caerfai,,530,513,12380,74.341667,34.508331,IN,Jammu and Kashmir,Kashmir,stated in text,seconds,outcrop,at the top of the Lolab Formation along the steep ridge slope southwest of the Putshai stream (Lat&Long) in the Lolab valley. Authors also provide a map,,22,,,,,,,,,,,,,,,upper middle part of the Lower Cambrian,drab coloured greenish shale which is occasionally ferruginous,"""shale""","ferruginous,green",lithified,,Y,,,,,,drab coloured greenish shale which is occasionally ferruginous,"""shale""","ferruginous,green",lithified,,Y,,,,,,marine indet.,,,,6,201,0,L. Ivany,P. Wall,,2005-01-13 9:21,2005-01-13 11:21,gp_mid,80.97,-25.77,501
467516,occ,,,46454,Bolaspidella n. sp. himalayensis,species,20361,species not entered,Bolaspidella,,genus,20361,St Davids,,513,501,12382,74.271385,34.462776,IN,Jammu and Kashmir,,estimated from map,seconds,small collection,,,22,,,,,,,group of beds,,,,,,,,It is found in the Magam section where Middle Cambrian passes conformably into Upper Cambrian,,"""shale""","gray,green",,sandy,Y,,,,,,,"""shale""","gray,green",,sandy,Y,,,,,,marine indet.,,,,6,201,0,L. Ivany,P. Wall,,2005-01-13 10:47,2005-01-13 12:47,gp_mid,95.89,-33.58,501
467517,occ,,,46454,Bolaspidella n. sp. costatus,species,20361,species not entered,Bolaspidella,,genus,20361,St Davids,,513,501,12382,74.271385,34.462776,IN,Jammu and Kashmir,,estimated from map,seconds,small collection,,,22,,,,,,,group of beds,,,,,,,,It is found in the Magam section where Middle Cambrian passes conformably into Upper Cambrian,,"""shale""","gray,green",,sandy,Y,,,,,,,"""shale""","gray,green",,sandy,Y,,,,,,marine indet.,,,,6,201,0,L. Ivany,P. Wall,,2005-01-13 10:47,2005-01-13 12:47,gp_mid,95.89,-33.58,501
467518,occ,,,46454,Bolaspidella n. sp. magamensis,species,20361,species not entered,Bolaspidella,,genus,20361,St Davids,,513,501,12382,74.271385,34.462776,IN,Jammu and Kashmir,,estimated from map,seconds,small collection,,,22,,,,,,,group of beds,,,,,,,,It is found in the Magam section where Middle Cambrian passes conformably into Upper Cambrian,,"""shale""","gray,green",,sandy,Y,,,,,,,"""shale""","gray,green",,sandy,Y,,,,,,marine indet.,,,,6,201,0,L. Ivany,P. Wall,,2005-01-13 10:47,2005-01-13 12:47,gp_mid,95.89,-33.58,501
467519,occ,,,46454,Bolaspidella sp. ?,genus,20361,,Bolaspidella,,genus,20361,St Davids,,513,501,12382,74.271385,34.462776,IN,Jammu and Kashmir,,estimated from map,seconds,small collection,,,22,,,,,,,group of beds,,,,,,,,It is found in the Magam section where Middle Cambrian passes conformably into Upper Cambrian,,"""shale""","gray,green",,sandy,Y,,,,,,,"""shale""","gray,green",,sandy,Y,,,,,,marine indet.,,,,6,201,0,L. Ivany,P. Wall,,2005-01-13 10:47,2005-01-13 12:47,gp_mid,95.89,-33.58,501
467572,occ,,,46472,Ptychoparia consocialis,species,20903,species not entered,Ptychoparia,,genus,20903,St Davids,,513,501,12419,77.23333,33.066666,IN,Jammu,,estimated from map,seconds,,"Kurgiakh, Zanskar Basin",,22,Kunzam La,Haimanta,Upper,Kunzam La,Haimanta,Upper,group of beds,,,,,Zanskar,,,,,"""shale""","gray,green",,,Y,,,,,,,"""shale""","gray,green",,,Y,,,,,,marine indet.,,,,6,201,201,L. Ivany,P. Wall,P. Wall,2005-01-13 12:13,2005-01-19 10:08,gp_mid,98.94,-32.38,501
